Services,Ride_Date,Ride_status,Source_pickup,Destination,Duration,Ride_id,Customer_id,Driver_id,Distance,Ride_charge,Misc_charge,Total_fare,Payment_method
Auto,03-08-2024,completed,Dasarahalli Sector,Hoodi Sector,38,RD1186089418412539,C025,D030,33.28,538.1,39.14,577.24,GPay
Bike,29-06-2024,completed,Ashok Nagar Extension,Gottigere 4th Block,78,RD8761241390169008,C089,D020,11.2,749.94,6.29,756.23,QR scan
Parcel,02-07-2024,completed,Vidyaranyapura Bay,HRBR Layout Ridge,101,RD0164749677803755,C068,D055,11.07,101.89,6.51,108.4,Paytm
Cab,28-06-2024,completed,Gottigere 3rd Stage,Domlur Valley,47,RD4224714318978333,C187,D047,30.12,397.5,48.95,446.45,Paytm
Cab,20-07-2024,cancelled,Kothnur View,Kudlu Meadows,45,RD1558426655586736,C138,D041,30.42,0,0,0,Payment Cancelled
Bike,05-08-2024,completed,Vidyaranyapura Mews,Bellandur Outer Ring Road Commons,75,RD0321469112384096,C097,D003,8.46,395.63,48.58,444.21,QR scan
Auto,06-07-2024,cancelled,Ramnagar Quadrant,Kanakapura 1st Block,72,RD8811947718055189,C142,D029,10.57,0,0,0,Payment Cancelled
Cab,01-08-2024,completed,Vijayanagar Pier,Vasanth Nagar Circle,96,RD8745559377368546,C161,D049,13.48,862.55,2.98,865.53,Paytm
Cab,22-07-2024,completed,Banashankari Cove,Benniganahalli Sector,76,RD6346549483693862,C093,D049,10.57,315.2,8.51,323.71,Amazon Pay
Bike,25-07-2024,completed,Anekal Crescent,Dr. Shivaram Karanth Nagar Pier,24,RD6246146787032858,C050,D023,19.45,873.83,35.55,909.38,Paytm
Auto,12-08-2024,completed,Horamavu Banaswadi Nagar,Mahalakshmi Layout Close,11,RD0787025703435590,C018,D025,23.39,128.45,41.68,170.13,Paytm
Auto,23-07-2024,completed,Chikkalasandra Pier,Koramangala 4th Block Plaza,71,RD7920264455173515,C170,D028,45.68,836.17,17.97,854.14,Amazon Pay
Auto,10-08-2024,completed,Vijayanagar Station,Vijayanagar Alcove,25,RD9437355751193472,C198,D029,46.98,68.12,47.36,115.48,GPay
Parcel,28-07-2024,completed,HRBR Layout Fields,Koramangala 6th Block Quarters,21,RD3739393310201952,C021,D056,41.73,813.29,43.84,857.13,Amazon Pay
Auto,23-07-2024,completed,Electronic City Farms,Chokkanahalli Viewpoint,21,RD6390354693964553,C026,D031,17.27,197.37,40.88,238.25,Paytm
Bike,08-07-2024,completed,Nayandahalli Crescent,Benson Town Estate,12,RD2232492967650430,C072,D015,15.91,556.03,36.47,592.5,Paytm
Cab,23-07-2024,completed,Shivaji Nagar Garden,Jayanagar Summit,101,RD9377447876496836,C163,D053,29.02,621.54,40.39,661.93,QR scan
Auto,24-06-2024,completed,Subramanyapura Side,Gottigere Track,60,RD5276828232196048,C094,D027,47.83,482.61,4.58,487.19,Paytm
Bike,22-07-2024,completed,Sadashiva Nagar Crescent,Hulimavu Alcove,102,RD5184477446295839,C095,D012,14.59,779.28,15.64,794.92,Paytm
Auto,26-06-2024,completed,JP Nagar Grove,Kumaraswamy Layout Square,89,RD5336692423863895,C054,D035,26.56,209.29,40.54,249.83,Amazon Pay
Auto,06-08-2024,completed,Giri Nagar Fields,Kothnur Lane,106,RD3189400667764857,C069,D036,9.66,884.78,42.87,927.65,GPay
Bike,27-07-2024,cancelled,Dodda Banaswadi Cove,Doddanekundi Quay,34,RD1441571815467906,C175,D021,21.24,0,0,0,Payment Cancelled
Bike,23-06-2024,completed,Hosur Sarjapur Road Layout Meadows,Kanakapura Farms,73,RD6180416993381955,C019,D020,24.76,437.15,41.86,479.01,QR scan
Bike,28-06-2024,completed,Yelahanka New Town Township,Kudlu Summit,108,RD6350224239934960,C163,D006,28.18,104.87,17.84,122.71,Amazon Pay
Bike,04-08-2024,completed,Nayandahalli Estate,Peenya Cut,85,RD9721918715269146,C137,D024,6.51,939.53,38.69,978.22,GPay
Cab,02-08-2024,completed,Koramangala 8th Block 4th Block,HRBR Layout Circle,57,RD9232748395540526,C063,D042,1.15,697.21,23,720.21,Amazon Pay
Cab,07-07-2024,completed,Koramangala 4th Block Lane,Malleshwaram Close,38,RD9460176940179670,C119,D046,4.7,506.15,9.16,515.31,GPay
Parcel,04-07-2024,completed,Billekahalli Court,Billekahalli Run,71,RD5685387624749622,C070,D060,8.48,484.52,2.54,487.06,Amazon Pay
Bike,23-07-2024,completed,Horamavu Vista,Doddakannelli Landing,13,RD4804865926813523,C177,D018,43.53,237.09,5.61,242.7,GPay
Bike,13-08-2024,completed,Kalena Agrahara Woods,Kaggalipura Fields,15,RD1990264432055213,C057,D022,39.1,904.15,25.25,929.4,Amazon Pay
Bike,24-06-2024,completed,Bagalur Woods,Munnekollal 5th Block,108,RD6241105190666359,C084,D002,8.69,413.65,12.97,426.62,GPay
Auto,06-08-2024,cancelled,Jalahalli Side,Seshadripuram Place,72,RD9075496668889885,C059,D038,27.26,0,0,0,Payment Cancelled
Bike,01-08-2024,completed,Anjanapura 2nd Stage,Ulsoor Landing,12,RD7163642430198957,C009,D011,9.36,736.44,10.5,746.94,QR scan
Cab,26-07-2024,completed,Seshadripuram Close,Benson Town Court,30,RD4802425547454254,C103,D044,47.3,936.3,36.69,972.99,QR scan
Bike,03-08-2024,completed,Chikka Banaswadi Park,Kothanur Viewpoint,114,RD8884751028528949,C017,D007,31.77,959.73,32.52,992.25,Amazon Pay
Bike,30-06-2024,completed,Peenya Yard,BTM 2nd Stage Sector,21,RD1912208191403803,C146,D023,20.39,878.18,1.38,879.56,GPay
Bike,26-07-2024,completed,Subbanna Palya 1st Stage,Kundalahalli Fields,78,RD3391698848124896,C081,D007,38.78,634.73,43.41,678.14,Paytm
Auto,27-07-2024,completed,Frazer Town District,VV Puram Lane,70,RD6245890520625788,C168,D031,30.24,681.86,6.4,688.26,payment_method
Cab,15-07-2024,completed,Madiwala Fields,Devarachikkanahalli Promenade,83,RD6672832161931933,C128,D046,36.37,632.57,18.17,650.74,Amazon Pay
Auto,05-07-2024,completed,Peenya Run,Ramnagar Side,97,RD1134210269460010,C165,D032,27.16,327.28,25.63,352.91,Paytm
Auto,23-07-2024,cancelled,Vasanth Nagar Place,Bagalur Arc,79,RD2923468454496019,C037,D029,5.62,0,0,0,Payment Cancelled
Cab,24-06-2024,completed,Hoodi Landing,JP Nagar 6th Stage,50,RD5158254211054789,C036,D043,7.79,282.25,4,286.25,QR scan
Cab,15-07-2024,completed,Bellandur Passage,Chikkajala Valley,101,RD5196059235912682,C191,D048,30.66,982.59,15.17,997.76,Amazon Pay
Auto,02-07-2024,completed,Nandini Layout Village,Peenya Crescent,29,RD3724690170387432,C138,D029,46.94,726.05,25.4,751.45,QR scan
Cab,23-07-2024,completed,Gottigere Meadows,Bagalur Side,60,RD1811766127321425,C192,D049,16.53,584.1,27.03,611.13,GPay
Parcel,18-07-2024,completed,Arekere Way,MG Road Area,65,RD1936283004367184,C110,D059,31.49,788,25.97,813.97,QR scan
Parcel,08-08-2024,completed,JP Nagar Heights,Bellandur Fields,94,RD0573708327362776,C103,D057,15.26,597.2,3.61,600.81,Amazon Pay
Bike,10-07-2024,completed,Nagawara 3rd Stage,Madivala Heights,17,RD3907016375137314,C057,D005,40.1,174.64,44.94,219.58,QR scan
Auto,03-08-2024,completed,Kaval Byrasandra Circle,Nandini Layout Trail,34,RD0241318703102650,C131,D032,48.71,325.68,35.79,361.47,QR scan
Cab,08-07-2024,completed,Jakkasandra Place,Kasavanahalli Alley,104,RD3536966233921768,C024,D052,36.08,465.27,34.09,499.36,Paytm
Cab,10-08-2024,completed,Chokkanahalli Landing,Kasavanahalli Yard,94,RD3163249486808659,C013,D053,21.08,849.61,30.24,879.85,Paytm
Parcel,15-08-2024,cancelled,Kaggalipura Heights,Byatarayanapura Garden,34,RD9451769220098091,C029,D056,20.93,0,0,0,Payment Cancelled
Bike,22-07-2024,cancelled,RMV 2nd Stage Hills,BTM Layout 4th Block,23,RD7083755919816493,C161,D006,36.87,0,0,0,Payment Cancelled
Bike,24-07-2024,completed,Basaveshwaranagar Township,Kalyan Nagar Enclave,61,RD6965105693370604,C175,D014,22.09,208.29,0.26,208.55,Paytm
Bike,26-07-2024,completed,Byatarayanapura 6th Block,Basavanagudi Summit,84,RD4394484847365794,C153,D003,12.19,99.13,27.15,126.28,Paytm
Auto,28-06-2024,completed,Peenya Layout,Koramangala 7th Block Area,94,RD4714294892172803,C099,D031,46.28,548.47,41.29,589.76,Amazon Pay
Auto,08-08-2024,completed,Adugodi Place,Yelahanka New Town Drive,29,RD2964640920205867,C153,D032,38.89,351.78,35.91,387.69,GPay
Parcel,08-08-2024,completed,Bagalur Drive,Kalena Agrahara Quarters,73,RD7751495356702520,C136,D057,15.99,174.23,39.9,214.13,Amazon Pay
Parcel,22-07-2024,completed,Banerghatta Road District,Sonnenahalli Extension,40,RD2161277035178841,C142,D055,20.65,507.61,42.47,550.08,Paytm
Auto,03-07-2024,completed,Nagawara Cutting,Hosur Zone,111,RD3814081453570671,C175,D036,35.73,201.53,45.99,247.52,GPay
Cab,08-07-2024,completed,Hennur Road Quarry,Doddakannelli Valley,22,RD9631104865907815,C030,D050,1.39,716.83,45.77,762.6,GPay
Auto,01-07-2024,completed,HRBR Layout Area,Munnekollal Crescent,29,RD0330858960435910,C138,D037,2.52,426.44,30.99,457.43,GPay
Bike,21-06-2024,completed,Koramangala 7th Block Grove,Anjanapura 4th Block,118,RD3721809124759843,C069,D021,40.12,714.89,33.68,748.57,GPay
Auto,03-08-2024,completed,Subbanna Palya Drive,Kasavanahalli Area,58,RD7469586997142439,C088,D026,1.23,560.9,27.85,588.75,GPay
Bike,29-06-2024,completed,Harohalli Grove,Kadubeesanahalli Road,36,RD0058273562434134,C076,D014,30.57,777.32,27.65,804.97,QR scan
Parcel,02-07-2024,completed,HSR Layout Terrace,Begur Track,65,RD8562176935351800,C041,D058,29.06,74.55,22.62,97.17,Paytm
Cab,28-06-2024,completed,Koramangala 8th Block Yard,Vasanth Nagar Boulevard,40,RD8911800885602371,C001,D051,28.7,770.47,34.53,805,Paytm
Cab,20-07-2024,cancelled,Kalyan Nagar Quay,Ulsoor Track,82,RD5299309350049804,C185,D044,38.1,0,0,0,Payment Cancelled
Bike,05-08-2024,completed,Sanjay Nagar Way,Madivala Bay,15,RD1452719201564416,C129,D006,44.37,487.68,15.45,503.13,QR scan
Auto,06-07-2024,cancelled,Balagere 2nd Stage,Kaval Byrasandra Pass,88,RD1978615826107718,C130,D039,14.72,0,0,0,Payment Cancelled
Cab,01-08-2024,completed,Byatarayanapura Road,Nagawara Enclave,99,RD9368739981203781,C028,D053,26.96,306.14,25.32,331.46,Paytm
Cab,22-07-2024,completed,Babusapalya Depot,Doddaballapur 2nd Block,74,RD9798999342198738,C161,D044,24.95,433.38,34.5,467.88,Amazon Pay
Bike,25-07-2024,completed,JP Nagar Fields,Hosur Sarjapur Road Layout Place,87,RD7644550387319329,C164,D017,21.87,872.58,10.91,883.49,Paytm
Auto,12-08-2024,completed,Jakkur Township,Tavarekere Valley,39,RD4765737327030968,C156,D028,28.54,537.49,4.13,541.62,Paytm
Auto,23-07-2024,completed,Gottigere Ridge,Naganathapura Side,101,RD5280318845743855,C040,D030,22.39,957.54,27.39,984.93,Amazon Pay
Auto,10-08-2024,completed,Rachenahalli Court,Nagwara Fields,48,RD0359944526896971,C196,D027,31.61,587.43,44.75,632.18,GPay
Parcel,28-07-2024,completed,Jalahalli Enclave,Kasavanahalli Nagar,27,RD1873268610969261,C139,D059,16.38,671.94,30.07,702.01,Amazon Pay
Auto,23-07-2024,completed,Jayanagar Way,Hennur Township,31,RD3853619166138620,C001,D034,44.82,341.81,30.47,372.28,Paytm
Bike,08-07-2024,completed,Subbanna Palya Grove,Jayanagar Landing,30,RD0438761598881525,C083,D016,19.74,342.76,2.76,345.52,Paytm
Cab,23-07-2024,completed,Kalyan Nagar Plaza,Ganganagar View,111,RD7843498075318136,C005,D041,3.26,800.44,14.92,815.36,QR scan
Auto,24-06-2024,completed,Bhuvaneshwari Nagar Circle,JP Nagar Colony,71,RD3875531994017298,C093,D039,45.85,664.23,34.63,698.86,Paytm
Bike,22-07-2024,completed,Kundalahalli 5th Block,Srirampura Yard,29,RD6814338496505881,C079,D008,43.49,556.51,7.85,564.36,Paytm
Auto,26-06-2024,completed,RT Nagar Plaza,Horamavu Banaswadi 5th Stage,29,RD2117293543985469,C015,D028,43,201.03,14.16,215.19,Amazon Pay
Auto,06-08-2024,completed,Bhadrappa Layout 1st Block,Hennur 4th Block,22,RD7057777423417265,C146,D026,41.55,860.93,28.2,889.13,GPay
Bike,27-07-2024,cancelled,MG Road Lane,Subramanyapura Quarters,90,RD8813909309673032,C022,D024,29.92,0,0,0,Payment Cancelled
Bike,23-06-2024,completed,ITI Layout Side,Agara Passage,28,RD4624272630258394,C125,D003,23.56,72.3,29.92,102.22,QR scan
Bike,28-06-2024,completed,Nagwara Square,Benson Town Cutting,49,RD5385009740998149,C195,D018,24.28,732.76,9.26,742.02,Amazon Pay
Bike,04-08-2024,completed,Nagasandra Cove,Jakkasandra Arc,19,RD5834474256249559,C197,D005,48.35,217.62,8.69,226.31,GPay
Cab,02-08-2024,completed,KR Puram Village,Anekal 1st Block,59,RD9955231492097602,C033,D050,5.5,904.3,44.62,948.92,Amazon Pay
Cab,07-07-2024,completed,Chikka Banaswadi Quay,Mahalakshmi Layout 5th Block,80,RD5222219217788850,C122,D048,34.56,348.93,27.89,376.82,GPay
Parcel,04-07-2024,completed,Peenya Farms,Banerghatta Road Track,93,RD6754578162666114,C043,D057,28.05,417.54,31.16,448.7,Amazon Pay
Bike,23-07-2024,completed,Lingarajapuram Arcade,Arekere Valley,48,RD1418379144648073,C136,D020,48.57,267.29,25.9,293.19,GPay
Bike,13-08-2024,completed,Munnekollal 3rd Stage,Nandini Layout Bridge,118,RD9524398659053763,C109,D007,39.08,190.23,12.3,202.53,Amazon Pay
Bike,24-06-2024,completed,Kothnur Place,Hosur Road 2nd Block,117,RD0977282052845555,C139,D024,11.79,96.92,32.64,129.56,GPay
Auto,06-08-2024,cancelled,Billekahalli Place,VV Puram Crescent,104,RD5198691837880188,C177,D028,38.89,0,0,0,Payment Cancelled
Bike,01-08-2024,completed,ITI Layout Works,Whitefield Crescent,65,RD8043209552401145,C183,D010,47.67,601.57,23.29,624.86,QR scan
Cab,26-07-2024,completed,Anjanapura Track,Lingarajapuram 4th Stage,93,RD2162740412087464,C103,D050,21.33,242.11,39.41,281.52,QR scan
Bike,03-08-2024,completed,Harohalli Extension,Hoodi Colony,107,RD4850448532031152,C167,D012,5.91,606.95,26.63,633.58,Amazon Pay
Bike,30-06-2024,completed,Munnekollal Vista,Attibele 5th Stage,60,RD4689152402753776,C113,D017,29.12,999.36,32.26,1031.62,GPay
Bike,26-07-2024,completed,Frazer Town Grove,Jakkur District,111,RD5871482235747234,C116,D004,43.15,809.5,4.06,813.56,Paytm
Bike,26-07-2024,completed,Kaggalipura 2nd Block,Begur Quarry,23,RD5517478309403242,C064,D004,22.3,554.24,48.6,602.84,GPay
Cab,15-07-2024,completed,Madivala Station,Gottigere Terrace,101,RD0398616559521440,C058,D041,32.47,231.85,14.73,246.58,Amazon Pay
Auto,05-07-2024,completed,Kasturi Nagar Track,ITI Layout Harbor,36,RD3004752435282039,C087,D025,8.25,578.43,46.87,625.3,Paytm
Auto,23-07-2024,cancelled,Hosur Road Quadrant,Domlur Dam,25,RD8148914444727823,C151,D033,28,0,0,0,Payment Cancelled
Cab,24-06-2024,completed,Kalena Agrahara Vista,Varthur Harbor,67,RD3696647375744074,C059,D049,12.49,100.88,19.48,120.36,QR scan
Cab,15-07-2024,completed,Gottigere 6th Stage,Anjanapura 5th Block,62,RD7009815722995070,C057,D040,31.67,257.63,46.38,304.01,Amazon Pay
Auto,02-07-2024,completed,ITI Layout Quadrant,Dodda Banaswadi 1st Block,31,RD0874119438241690,C019,D036,26.09,364.01,48.68,412.69,QR scan
Cab,23-07-2024,completed,Subramanyapura Zone,BTM 2nd Stage 1st Block,58,RD8664858996960778,C162,D040,3.56,820.86,41.57,862.43,GPay
Parcel,18-07-2024,completed,Dr. Shivaram Karanth Nagar Area,Marathahalli Cove,112,RD3832165617956185,C059,D055,47.85,861.07,10.47,871.54,QR scan
Parcel,08-08-2024,completed,Kaval Byrasandra Quarters,Kadugodi Grove,50,RD9735187565089727,C009,D057,43.97,100.91,6.51,107.42,Amazon Pay
Bike,10-07-2024,completed,Hosur Sarjapur Road Layout Alcove,Malleshwaram Quarry,76,RD1710626914717199,C019,D017,10.33,120.87,43.4,164.27,QR scan
Auto,03-08-2024,completed,Mysore Road Alcove,Nagarbhavi Fork,14,RD7639590640051792,C061,D029,14.62,370.36,36,406.36,QR scan
Cab,08-07-2024,completed,Yelahanka New Town Colony,Billekahalli 2nd Block,47,RD2498150093941467,C172,D047,4.83,836.18,26.35,862.53,Paytm
Cab,10-08-2024,completed,Hoodi Colony,Ganganagar 3rd Stage,56,RD4937438002379385,C055,D048,6.34,844.53,16.57,861.1,Paytm
Parcel,15-08-2024,cancelled,Sanjay Nagar Works,Harohalli District,55,RD3733434487792111,C034,D060,9.05,0,0,0,Payment Cancelled
Bike,22-07-2024,cancelled,Agrahara Layout Complex,Whitefield Promenade,77,RD7938529589806617,C147,D019,16.74,0,0,0,Payment Cancelled
Bike,24-07-2024,completed,Ramamurthy Nagar Drive,Bagalur Fields,118,RD7513490558222926,C122,D008,20.84,984.31,8.66,992.97,Paytm
Bike,26-07-2024,completed,Indiranagar Heights,Anjanapura Quarry,23,RD5440556690792913,C122,D014,9.52,617.49,30.74,648.23,Paytm
Auto,28-06-2024,completed,Madiwala Side,Rajajinagar Farms,112,RD3631715730301864,C049,D026,18.11,447.52,10.69,458.21,Amazon Pay
Auto,08-08-2024,completed,Gottigere 3rd Block,RMV 2nd Stage 3rd Stage,49,RD4360834896463714,C025,D035,47.64,628.43,8.6,637.03,GPay
Parcel,08-08-2024,completed,Bhuvaneshwari Nagar Vista,Yeshwanthpur 1st Stage,44,RD1381558308535750,C111,D057,40.59,93.17,37.66,130.83,Amazon Pay
Parcel,22-07-2024,completed,Hosur Sarjapur Road Layout Yard,Kumaraswamy Layout Landing,82,RD2228530824671207,C109,D058,28.01,403.86,41.92,445.78,Paytm
Auto,03-07-2024,completed,Madiwala Cove,Chikka Banaswadi Cross,17,RD4038292629810486,C120,D038,8.01,339.9,2.05,341.95,GPay
Cab,08-07-2024,completed,Agrahara Layout Enclave,Srirampura Grove,57,RD7165721723471097,C187,D040,37.49,806.58,12.08,818.66,GPay
Auto,01-07-2024,completed,Indiranagar Place,RMV 2nd Stage 5th Block,43,RD4211098565352600,C173,D035,7.91,469.3,3.49,472.79,GPay
Bike,21-06-2024,completed,Chikkajala Park,Pai Layout Township,99,RD8562959436908355,C166,D004,4.42,632.32,48.56,680.88,GPay
Auto,03-08-2024,completed,Agrahara Layout Side,BTM 2nd Stage 2nd Stage,11,RD2372807392381301,C016,D031,24.78,554.33,37.46,591.79,GPay
Bike,29-06-2024,completed,Ramamurthy Nagar Valley,Kadubeesanahalli Complex,28,RD3405238981898312,C187,D011,37.24,408.46,32.32,440.78,QR scan
Parcel,02-07-2024,completed,Bikasipura Valley,Tavarekere Extension,103,RD6229402449684336,C028,D056,17.19,881.26,16.92,898.18,Paytm
Cab,28-06-2024,completed,VV Puram Works,Yeshwanthpur Park,71,RD2947272871971003,C050,D043,43.26,181.27,30.66,211.93,Paytm
Cab,20-07-2024,cancelled,Bommanahalli Village,KR Puram Bay,82,RD7131963897829909,C138,D047,3.2,0,0,0,Payment Cancelled
Bike,05-08-2024,completed,Nagarbhavi Vista,Dodda Banaswadi 1st Stage,26,RD1125830325235528,C036,D014,15.88,892.74,6.29,899.03,QR scan
Auto,06-07-2024,cancelled,Pai Layout Arc,Chikkalasandra Pointe,106,RD8684548582142879,C047,D029,38.63,0,0,0,Payment Cancelled
Cab,01-08-2024,completed,Peenya Quarry,Yeshwanthpur 6th Block,59,RD1584658978945713,C119,D043,12.83,650.44,39.84,690.28,Paytm
Cab,22-07-2024,completed,Kadubeesanahalli Cross,Srirampura 2nd Block,105,RD1123231265549293,C020,D047,25.81,278.67,29.55,308.22,Amazon Pay
Bike,25-07-2024,completed,Kalyan Nagar Commons,Bikasipura 2nd Stage,65,RD4259566880299991,C141,D004,30.85,535.14,6.05,541.19,Paytm
Auto,12-08-2024,completed,Rajarajeshwari Nagar Bay,Kudlu Gate Track,107,RD3889650482129147,C013,D035,2.88,730.82,41.81,772.63,Paytm
Auto,23-07-2024,completed,Nandini Layout Zone,JP Nagar Close,107,RD6617722676395867,C139,D038,10.81,818.66,5.45,824.11,Amazon Pay
Auto,10-08-2024,completed,Jakkur 3rd Stage,Banaswadi Run,98,RD6544047232784198,C004,D026,14.04,911.38,9.58,920.96,GPay
Parcel,28-07-2024,completed,Yeshwanthpur Heights,Bommasandra Quarry,99,RD2003174362884035,C193,D056,49.01,734.37,26.41,760.78,Amazon Pay
Auto,23-07-2024,completed,Shivaji Nagar Sector,Nagawara Ridge,50,RD9185585554821561,C043,D031,8.59,225.54,29.29,254.83,Paytm
Bike,08-07-2024,completed,Kothanur 5th Stage,Vijayanagar Extension,41,RD2167026476126373,C125,D016,24.75,278.39,12.27,290.66,Paytm
Cab,23-07-2024,completed,ITI Layout Mews,Bommanahalli Way,51,RD1406758640744456,C055,D053,14.43,720.13,47.05,767.18,QR scan
Auto,24-06-2024,completed,Kothnur Cutting,Koramangala 4th Block Track,91,RD0918619353798738,C103,D039,27.52,797.63,7.89,805.52,Paytm
Bike,22-07-2024,completed,Gottigere Landing,Nagasandra Plaza,79,RD0222785949421021,C016,D006,36.22,500.84,45.57,546.41,Paytm
Auto,26-06-2024,completed,Domlur Bridge,Koramangala 4th Block Alcove,65,RD9378460916160082,C098,D025,8.95,604.68,17.65,622.33,Amazon Pay
Auto,06-08-2024,completed,Gottigere 6th Block,Jayanagar Woods,83,RD8240753639368598,C100,D029,26.15,706.87,28.65,735.52,GPay
Bike,27-07-2024,cancelled,Nayandahalli Colony,Chikka Banaswadi Fields,48,RD8351707198048553,C117,D010,40.03,0,0,0,Payment Cancelled
Bike,23-06-2024,completed,Balagere Woods,Vijayanagar Station,23,RD6141128071035697,C109,D023,31.42,607.16,34.44,641.6,QR scan
Bike,28-06-2024,completed,Hebbal Sector,Ramnagar Alcove,117,RD4986904018202135,C188,D018,21.05,410.68,3.54,414.22,Amazon Pay
Bike,04-08-2024,completed,Nayandahalli Run,Sonnenahalli Complex,83,RD0814058300837633,C170,D023,37.47,937.67,38.16,975.83,GPay
Cab,02-08-2024,completed,Hosur Sarjapur Road Layout Viewpoint,Ashok Nagar Place,21,RD6990236402562463,C125,D042,6.4,380.85,2.14,382.99,Amazon Pay
Cab,07-07-2024,completed,Seshadripuram Drive,Ashok Nagar 3rd Stage,94,RD1995215476736701,C049,D044,12.99,457.66,31.07,488.73,GPay
Parcel,04-07-2024,completed,Babusapalya 5th Stage,Kengeri Sector,83,RD1381857806220021,C056,D055,14.98,512.88,45.14,558.02,Amazon Pay
Bike,23-07-2024,completed,Chikkajala Colony,Hoodi Loop,84,RD7805879366152181,C149,D024,48.64,244.46,2.64,247.1,GPay
Bike,13-08-2024,completed,Bikasipura District,Gottigere Fields,33,RD2211414515718330,C139,D002,26.56,594.39,10.69,605.08,Amazon Pay
Bike,24-06-2024,completed,Vijayanagar Ridge,Kundalahalli Quay,24,RD1901338039795254,C192,D011,33.27,915.1,27.95,943.05,GPay
Auto,06-08-2024,cancelled,Seshadripuram Passage,Banashankari Alcove,19,RD4087313455867381,C015,D025,27.35,0,0,0,Payment Cancelled
Bike,01-08-2024,completed,Bagalur Crescent,KR Puram Passage,64,RD7058348757705359,C150,D016,37.2,486.79,31.32,518.11,QR scan
